小美人鱼2
你是我的世界  You are my world
不会让你离开我  Oh, why did you have to go
一切都更新鲜明亮又蔚蓝  Everything's newer and brighter and bluer
生命如此真实  And truer to life than before
看我去翱翔  Watch me soar
这一瞬间我发现  For a moment I can shine
鱼鳍能带我悠游世界  Got a grin and a fin that works fine
我手指已发皱 但是我无所谓  My fingers are wrinkly and I really don't care
那头发已纠结我不觉得累  If all of my curls have curled out of my hair
这一瞬间我看见  For a moment I can feel
所有梦想在慢慢实现  All the dreams I've been dreaming are real
这世界多新鲜  Wish my mother could hear it
愿你能听见  The sea is my song
这一瞬间  For a moment Just a moment
我已拥有全世界  I belong
我亲爱的美莉缇  I will find you, my darling
如今何处去找寻  And the moment that I do
我多希望能再抱紧你  I'll hold you close, my Melody
再与你共谱海的旋律  And sing the song of the sea With you
与你共谱海的     就在这一瞬间  Sing the song of the sea     For a moment, just a moment
旋律     我已拥有全世界  With you     I belong
谢谢 真是太谢谢你了  Oh, thank you Thank you so much
你怎么了？  What's the matter?
我就知道会发生这种事  Oh, I knew this would happen.
一旦试过就上瘾了  One taste, and you're hooked.
杜鲨 我真的是好失败 真的是…  Oh, Undertow, I'm such a failure, such a...
我的宝贝  Oh, my precious,
这个魔药不够 所以没办法做永远的改变  there wasn't enough potion for this to be a forever spell.
拜托 我… 我不想回去 当个普通的女孩子  Please, I don't want to go back to being an ordinary girl.
有没有什么办法 可以让我当人鱼的  Isn't there some way I can stay a mermaid?
这恐怕没有 一个绝对可行的办法  No, I'm afraid there's absolutely no possible way.
是有个办法  Well, there is one way.
我在想什么啊 那样太危险了  No. What am I thinking? It's far too dangerous.
什么？ 你是说… 什么太危险  What? What's too dangerous?
这个嘛 我可以让咒语持续久一点  Well, I could make the spell last longer
但那需要我的神奇三叉戟  if I had my magic trident.
可是在几年前 一个神经错乱的窃盗狂 把它偷走了  Oh, but it was stolen years ago by a deranged kleptomaniac,
而且没有人去帮我把它拿回来  and there's no one to get it back for me.
也许我可以帮你拿回来  Maybe I could get it back for you.
你愿意为我这么做  You would do that for me?
如果我拿回来 你能让我当永久的人鱼吗？  If I did, would you make me a mermaid forever?
只要你喜欢甚至更久  Even longer, if you like.
好 这儿 就是那个无赖住的地方  Now, here is where the scoundrel lives.
亚特兰提卡 你是说… 那不只是古老的神话  Atlantica? You mean it's not just an old fish tale?
它真的存在  It really exists?
它当然存在 亲爱的  Of course it exists, dear.
是谁跟你说它不存在的  Whoever told you otherwise?
我… 妈妈  My... mother.
我相信她不是故意 想要残忍的欺骗你  Well, I'm sure she didn't mean to be cruel and deceitful.
好吧 我会拿回你的三叉戟  Okay, I'll bring back your trident.
你放心交给我吧  You can count on me
小心点 亲爱的  Be careful, dear.
好好享受你的鳍  Enjoy those fins
趁你还有机会  While you can.
我看看 在二圈航道的南边  Hmm. Let's see. South to Two Circles Pass,
然后… 往北到…  then, uh, north to...
