超人总动员2
她不是做违法的事  She's not breaking...
她在努力工作 努力让超能力合法化  She's an advocate for superheroes.
这是个新工作  It's a new job.
就是说妈妈违反法律使用超能力  So, Mom is going out illegally...
最终的目的是为了超能力的合法化  to explain why she shouldn't be illegal.
你们的校车来了  The bus is here!
快去拿东西 快 快点去  Whoa! Grab your stuff quickly! Go on, get on the...
记得把作业本带上  Put your homework in your pack!
拜拜  Bye  bye!
看来我们两个也能相处的不错  We're gonna get along just fine...
因为你不会问我什么麻烦的问题  'cause you don't ask any hard questions.
准备好了 各部门注意  All right. All locations,
有情况请通知我们  we need to know where you want us.
请待命  Stand by.
这可真奇怪 我居然要在这等着有人犯罪  Seems strange to wait for crime.
放轻松 你现在身处  Relax. You're smack in the middle...
城市里犯罪率最高的地区 非常完美  of the worst crime area in the city. It's perfect.
这里是超人的运动场  It's a superhero's playground.
超人的运动场 好吧  "It's a superhero's playground." Right.
之前我们停止活动的时候  You know, after we went underground...
我老公天天听着警方的通报  my husband used to listen to a police scanner...
等着出点什么乱子  waiting for something to happen.
因为这个我还发火了  And I got mad at him for it.
到头来我跟他一样了  Oh, I'm such a hypocrite.
各单位注意    有情况了  All units.    Something's up.
据说有人可能扰乱  We've been picking up some chatter about
悬浮列车的发车仪式  potential disruptions to the hovertrain's opening ceremony.
是捣乱还是威胁    都有  Disruption or threat?    Both.
发车仪式在54大街和都金汉路交叉口进行  Station's at Fifty  Fourth and Nottingham.
可能有危险 太棒了  A potential threat! Perfect!
马上去那里 快快快  Fifty  fourth and Nottingham. Go, go, go!
喂 小倩晚上十点半之前必须回家  Hey, Vi! I want you back here by 10:30.
十一点之前  11  ish?
十点之前要不就九点半之前  10  ish, heading for 9:30  ish.
那就十点半之前  10:30  ish it is.
好好看电影吧  Enjoy the movie.
